Gene	Transcript	Entire Length	Entire SNPs count	Synonymous SNPs count	pos1	pos2	pos3	Non-overlapped regions length	Non-overlapped regions SNPs count	Synonymous SNPs count	pos1	pos2	pos3	Overlapping regions length	Overlapping regions SNPs count	Synonymous SNPs count	pos1	pos2	pos3
SLC37A4	ENST00000330775	1290	22	7	4	9	9	1150	18	4	4	8	6	140	4	3	0	1	3
TMEM213	ENST00000413208	318	4	0	1	3	0	191	4	0	1	3	0	127	0	0	0	0	0
KIAA1549	ENST00000440172	5805	103	43	30	29	44	5678	103	43	30	29	44	127	0	0	0	0	0
UPK3BL2	ENST00000644544	792	6	1	1	3	2	668	6	1	1	3	2	124	0	0	0	0	0
POLR2J3	ENST00000486319	351	2	0	2	0	0	227	2	0	2	0	0	124	0	0	0	0	0
SERF2	ENST00000448830	327	1	1	0	0	1	206	1	1	0	0	1	121	0	0	0	0	0
SERINC4	ENST00000299969	1281	10	3	2	4	4	1160	10	3	2	4	4	121	0	0	0	0	0
LEPROTL1	ENST00000442880	435	5	1	4	0	1	320	2	1	1	0	1	115	3	0	3	0	0
MBOAT4	ENST00000320542	1308	23	7	7	6	10	1193	20	5	7	6	7	115	3	2	0	0	3
CCDC24	ENST00000372318	924	8	3	1	3	4	810	8	3	1	3	4	114	0	0	0	0	0
SLC6A9	ENST00000372307	1725	17	10	6	1	10	1611	17	10	6	1	10	114	0	0	0	0	0
FADS2	ENST00000522056	1242	4	4	0	0	4	1128	4	4	0	0	4	114	0	0	0	0	0
FADS1	ENST00000350997	1506	1	0	1	0	0	1392	1	0	1	0	0	114	0	0	0	0	0
FAM187A	ENST00000331733	1242	18	4	6	6	4	1129	18	4	6	6	4	113	0	0	0	0	0
GFAP	ENST00000639277	1518	21	15	3	2	16	1405	21	15	3	2	16	113	0	0	0	0	0
TBCE	ENST00000647428	1245	14	5	3	6	5	1168	13	5	2	6	5	77	1	0	1	0	0
TBCE	ENST00000645964	483	7	1	1	5	1	406	6	0	1	5	0	77	1	1	0	0	1
ZNF575	ENST00000458714	1035	5	2	2	0	3	923	5	2	2	0	3	112	0	0	0	0	0
ETHE1	ENST00000292147	765	3	1	2	0	1	653	3	1	2	0	1	112	0	0	0	0	0
NELFCD	ENST00000602795	1800	8	6	0	2	6	1688	8	6	0	2	6	112	0	0	0	0	0
CTSZ	ENST00000681175	960	9	3	4	1	4	848	9	3	4	1	4	112	0	0	0	0	0
GOLGA7B	ENST00000370602	504	0	0	0	0	0	393	0	0	0	0	0	111	0	0	0	0	0
CRTAC1	ENST00000370597	1986	28	15	9	3	16	1875	28	15	9	3	16	111	0	0	0	0	0
GNB3	ENST00000229264	1023	7	5	1	1	5	916	7	5	1	1	5	107	0	0	0	0	0
CDCA3	ENST00000422785	660	4	0	3	1	0	553	4	0	3	1	0	107	0	0	0	0	0
DUOXA2	ENST00000323030	963	12	5	3	2	7	869	12	5	3	2	7	94	0	0	0	0	0
DUOXA1	ENST00000613425	1317	10	2	2	5	3	1223	10	2	2	5	3	94	0	0	0	0	0
ZBTB8A	ENST00000373510	1326	7	3	0	2	5	1228	7	3	0	2	5	98	0	0	0	0	0
ZBTB8OS	ENST00000341885	195	0	0	0	0	0	97	0	0	0	0	0	98	0	0	0	0	0
ATP2C1	ENST00000359644	2850	14	8	4	0	10	2754	14	8	4	0	10	96	0	0	0	0	0
ASTE1	ENST00000264992	2040	12	4	7	1	4	1944	12	4	7	1	4	96	0	0	0	0	0
CISD2	ENST00000273986	408	2	2	0	0	2	312	2	2	0	0	2	96	0	0	0	0	0
SLC9B1	ENST00000394789	1428	6	3	0	2	4	1332	6	3	0	2	4	96	0	0	0	0	0
TTC7A	ENST00000319190	2577	44	19	14	9	21	2485	42	18	12	9	21	92	2	1	2	0	0
MCFD2	ENST00000444761	384	2	0	0	2	0	292	0	0	0	0	0	92	2	0	0	2	0
TSFM	ENST00000550559	693	4	2	1	1	2	602	4	2	1	1	2	91	0	0	0	0	0
AVIL	ENST00000549994	2460	19	5	6	6	7	2369	19	5	6	6	7	91	0	0	0	0	0
MYOCOS	ENST00000637303	324	2	0	0	2	0	234	0	0	0	0	0	90	2	0	0	2	0
MYOC	ENST00000037502	1515	32	18	7	6	19	1425	30	16	7	6	17	90	2	2	0	0	2
COQ6	ENST00000394026	1332	16	4	2	10	4	1244	12	2	1	9	2	88	4	2	1	1	2
FAM161B	ENST00000651776	2133	30	6	13	10	7	2045	26	6	11	9	6	88	4	0	2	1	1
C22ORF39	ENST00000509549	279	4	2	0	1	3	216	4	2	0	1	3	63	0	0	0	0	0
HIRA	ENST00000263208	3054	22	19	0	3	19	2991	22	19	0	3	19	63	0	0	0	0	0
MRPS22	ENST00000310776	1080	10	2	4	1	5	994	10	2	4	1	5	86	0	0	0	0	0
COPB2	ENST00000503326	2715	10	5	5	1	4	2629	10	5	5	1	4	86	0	0	0	0	0
ZNF587	ENST00000339656	1728	24	8	7	10	7	1644	23	8	6	10	7	84	1	0	1	0	0
ZNF814	ENST00000595295	120	2	1	1	0	1	36	1	1	0	0	1	84	1	0	1	0	0
RANGRF	ENST00000226105	561	6	2	4	1	1	478	6	2	4	1	1	83	0	0	0	0	0
SLC25A35	ENST00000380067	888	7	2	4	2	1	805	7	2	4	2	1	83	0	0	0	0	0
OGG1	ENST00000302036	1275	10	1	6	4	0	1193	10	1	6	4	0	82	0	0	0	0	0
CAMK1	ENST00000256460	1113	3	1	1	1	1	1031	3	1	1	1	1	82	0	0	0	0	0
CHRNA5	ENST00000299565	1407	16	8	3	2	11	1326	14	7	3	2	9	81	2	1	0	0	2
CHRNA3	ENST00000348639	1470	17	9	1	5	11	1389	15	9	1	3	11	81	2	0	0	2	0
RABEP1	ENST00000537505	2589	22	14	1	3	18	2508	21	13	1	3	17	81	1	1	0	0	1
NUP88	ENST00000700530	1974	11	5	3	1	7	1893	10	5	2	1	7	81	1	0	1	0	0
LRTOMT	ENST00000544409	564	4	1	3	0	1	486	4	1	3	0	1	78	0	0	0	0	0
TOMT	ENST00000541899	777	8	0	5	3	0	699	8	0	5	3	0	78	0	0	0	0	0
SNRPF	ENST00000553192	204	0	0	0	0	0	129	0	0	0	0	0	75	0	0	0	0	0
CCDC38	ENST00000344280	1692	27	10	9	7	11	1617	27	10	9	7	11	75	0	0	0	0	0
RAB3GAP1	ENST00000264158	2946	19	8	3	4	12	2873	19	8	3	4	12	73	0	0	0	0	0
ZRANB3	ENST00000619650	1797	30	10	6	14	10	1724	30	10	6	14	10	73	0	0	0	0	0
C2	ENST00000452323	1617	12	2	5	5	2	1544	12	2	5	5	2	73	0	0	0	0	0
ZBTB12	ENST00000375527	1380	17	13	3	1	13	1307	17	13	3	1	13	73	0	0	0	0	0
MTHFD1	ENST00000557370	2769	16	4	6	7	3	2697	15	4	6	6	3	72	1	0	0	1	0
ZBTB25	ENST00000555220	261	1	0	0	1	0	189	0	0	0	0	0	72	1	0	0	1	0
UTP23	ENST00000517820	318	1	0	0	1	0	246	1	0	0	1	0	72	0	0	0	0	0
RAD21	ENST00000297338	1896	7	3	0	1	6	1824	7	3	0	1	6	72	0	0	0	0	0
GET1	ENST00000415847	420	2	0	2	0	0	349	2	0	2	0	0	71	0	0	0	0	0
LCA5L	ENST00000380671	2013	24	8	10	3	11	1942	24	8	10	3	11	71	0	0	0	0	0
PRSS23	ENST00000533902	276	1	1	0	0	1	206	1	1	0	0	1	70	0	0	0	0	0
FZD4	ENST00000531380	1614	10	3	5	2	3	1544	10	3	5	2	3	70	0	0	0	0	0
OPRM1	ENST00000337049	1257	22	4	7	10	5	1189	18	4	5	8	5	68	4	0	2	2	0
IPCEF1	ENST00000265198	1314	11	5	2	4	5	1246	7	3	2	2	3	68	4	2	0	2	2
RINT1	ENST00000257700	2379	19	9	6	3	10	2312	19	9	6	3	10	67	0	0	0	0	0
EFCAB10	ENST00000485614	450	5	3	1	2	2	383	5	3	1	2	2	67	0	0	0	0	0
WFDC13	ENST00000305479	282	3	0	0	3	0	217	3	0	0	3	0	65	0	0	0	0	0
WFDC10B	ENST00000335769	270	1	0	1	0	0	205	1	0	1	0	0	65	0	0	0	0	0
SEMA4G	ENST00000210633	2532	28	14	7	6	15	2469	26	13	7	5	14	63	2	1	0	1	1
MRPL43	ENST00000299179	609	6	3	2	2	2	546	4	2	2	1	1	63	2	1	0	1	1
KRT18	ENST00000388835	1293	8	3	1	2	5	1231	8	3	1	2	5	62	0	0	0	0	0
KRT8	ENST00000619952	99	0	0	0	0	0	37	0	0	0	0	0	62	0	0	0	0	0
NDE1	ENST00000396354	1008	13	5	0	7	6	947	13	5	0	7	6	61	0	0	0	0	0
MYH11	ENST00000396324	5940	91	56	19	9	63	5879	91	56	19	9	63	61	0	0	0	0	0
